*?dʰeḫ(ģ)-	'schärfen, wetzen'	IEW –
*dʰeyģʰ-	'bestreichen, kneten'	IEW 244-5
*dʰeyH-	'ins Auge fassen'	IEW 243
*dʰeyHgᵂ-	'hineinstecken, stechen'	IEW 243-4
*dʰelbʰ-	'graben, aushöhlen'	IEW 246
*dʰembʰ-	'erstaunen (intr.), in Erstaunen geraten'	IEW 233
*dʰembʰ-	'(brand)bestatten'	IEW 248-9
*dʰembʰ-	'(zer)schlagen (?)'	IEW 240
*dʰenḫ-	'sich in Lauf setzen, sich davonmachen'	IEW 249
*dʰer-	'befestigen, fixieren'	IEW 252-3
*dʰerģʰ-	'(sich) wenden'	IEW 258
*dʰerḥ-	'springen, bespringen'	IEW 256
*dʰers-	'Mut fassen'	IEW 259
*dʰew-	'laufen, eilen'	IEW 259-60, 262
*?dʰewdʰ-	'erschüttern'	IEW 264-5
*dʰewgʰ-	'treffen'	IEW 271
*dʰewH-	'rasch hin und her bewegen, schütteln'	IEW 261-3
*dʰgᵂʰey-	'(durch Hitze) hinschwinden, zugrunde gehen'	IEW 487
*dʰmeH-	'blasen'	IEW 247-8
*?dʰreb-	'stoßen, treffen'	IEW 272-3
*dʰrebʰ-	'sich ausscheiden, sich niederschlagen, gerinnen'	IEW 257
*dʰre(ģ)ʰ-	'schleppen, ziehen'	IEW 257, 273
*dʰreḫgʰ-	'aufgewühlt werden, in Aufruhr geraten'	IEW 251, 273
*?dʰreybʰ-	'treiben'	IEW 274
*?dʰreyd-	'scheißen'	IEW 256
*dʰrew-	'laut rufen, verkünden'	IEW 255
*dʰrew-	'irreführen'	IEW 277
*?dʰrewb-	'tropfen'	IEW 275
*dʰrewbʰ-	'zerbrechen, zerbröckeln'	IEW 275
*dʰrewgʰ-	'trügen, täuschen'	IEW 276
*dʰrewgʰ-	'Gefolgschaft leisten'	IEW 255
*?dʰrews-	'fallen, herabfallen'	IEW 274-5
*dʰweḫ-	'Rauch machen'	IEW 262-3
*dʰwen-	'tönen'	IEW 277
*dʰwenH-	'qualmen, rauchen'	IEW 266
*dʰwens-	'zerstieben, zerbröckeln'	IEW 268-9
